TREES NAME,NUMBER OF TREES
ASHOK ,13
NEEM,4
ALMOND,1
ROYAL PALM,4
INDIAN BEECH,5
YELLOW ELDER,1
GOLDEN BAMBOO,25
MONKEY POD,6
GULMOHAR,3
