TREES NAME,NUMBER OF TREE
NEEM TREE,30
ALMOND TREE,4
YELLOW ELDER TREE,1
TAMARIND,3
MANGO TREE,2
ASHOKA TREE,23
SACRED FIG TREE,1
GUAVA TREE,1
COCONUT TREE,1
GULMOHAR TREE,6
MONKEY POD TREE,9
TECTONA TREE,9
INDAIN BEECH TREE,20
ASIAN BULLET WOOD,4
STERCULIA FOETIDA,1
