TREES NAME,SCIENTIFIC NAME OF TREE,NUMBER OF TREES
ASHOK TREE,Saraca asoca,13
NEEM TREE,Azadirachta indica,4
ALMOND TREE,Prunus dulcis,1
ROYAL PALM TREE,Roystonea regia,4
INDIAN BEECH TREE,Millettia pinnata,5
YELLOW ELDER TREE,Tecoma stans,1
GOLDEN BAMBOO TREE,Phyllostachys aurea,25
MONKEY POD TREE,Samanea saman,6
GULMOHAR TREE,Delonix regia,3
