TREES NAME,NUMBER OF TREES
MANGO,3
INDIAN BEECH,4
Asian Bullet Wood,8
COCONUT,9
NEEM,1
ALMOND,1
FIG,1
PALM,6
TAMARIND,2
BANANA ,8
GOLDEN BAMBOO,12
