TREES NAME,NUMBER OF TREES
ACACIA,3
HAINANIA,4
BANANA,7
PAPAYA,2
NEEM,5
ALMOND,2
MONKEY POD,1
COCONUT,3
INDIAN BEECH,5
ASHOK,1
CHRISTMAS,1
BIRD CATCHER,1
GULMOHAR,2
JACKFRUIT,1
STERCULIA FOETIDA,1
