TREES NAME ,SCIENTIFIC NAME OF TREES ,TREES COUNT
INDIAN BEECH TREE,Millettia pinnata,7
MONKEY POD TREE,Samanea saman,3
NEEM TREE,Azadirachta indica,5
ALMOND TREE,Prunus dulcis,3
BAMBOO CYCAD,Ceratozamia hildae,16
ASHOK TREE,Saraca asoca,14
TECTONA TREE,Tectona grandis,2
GULMOHAR TREE,Delonix regia,1
PINE,Pinus roxburghii,1
