TREES NAME,NUMBER OF TREES
INDIAN BEECH,7
MONKEY POD,3
NEEM,5
ALMOND,3
BAMBOO CYCAD,16
ASHOK,14
TECTONA,2
GULMOHAR,1
PINE,1
