TREES NAME,NUMBER OF TREES
TAMARIND,4
BAMBOO,19
NEEM,16
PORTIA,1
ASIAN BULLET WOOD,16
ALMOND,5
TECTONA,3
COCONUT,9
BANANA,12
RAMBUTAN,1
ORCHID,9
FISHTAIL PALM,13
PALM,8
INDIAN BEECH,22
MONKEY POD,17
AMALTAS,1
ASHOK,39
MANGO,14
SAPOTA,5
GULMOHAR,12
CAPE FIG,7
GUAVA,4
JAMUN,1
CHILEAN JASMINE,3
OLEANDER,1
CHRISTMAS,3
AFRICAN TALISAY,8
ALEXANDRIAN LAUREL,2
COOK PINE,1
BAMBOO CYCAD,15
ROYAL PALM,12
