TREES NAME,NUMBER OF TREES
JACKFRUIT,4
INDIAN BEECH,5
MANGO,7
GUAVA,3
COCONUT,13
NEEM,2
PAPAYA,1
BANANA ,18
BRID CATCHER,4
ROYAL PALM,10
CHRISTMAS PALM,3
MONKEY POD,1
ALMOND,1
ASHOK,1
SAPOTA,1
CONIFER,3
